13/01/2023 / 13:34:13                     script.txt
--------------------------------------------------------------
Total number of words:                                    9159
Most common word:                   you, which comes 274 times
Amount of unique words:                                   1093
The longest word:                         motionpicturecapture
"You like Jazz?" comes after                        2255 words
--------------------------------------------------------------
attack                                                       2
vannie                                                       1
major                                                        1
real                                                         4
illegitimate                                                 1
god                                                          1
comes                                                        2
sports                                                       2
korean                                                       1
hear                                                         7
wherever                                                     1
campaign                                                     1
tennis                                                       2
help                                                         8
now                                                          18
dean                                                         1
blade                                                        2
allergic                                                     3
evidence                                                     2
church                                                       1
talk                                                         10
waste                                                        2
lot                                                          10
hospitals                                                    1
took                                                         2
thatjust                                                     1
cake                                                         1
antennas                                                     1
restricted                                                   1
heating                                                      2
britches                                                     1
mom                                                          1
got                                                          34
value                                                        3
label                                                        1
stirrer                                                      4
outside                                                      3
returning                                                    1
area                                                         3
psychotic                                                    1
change                                                       2
throat                                                       1
pure                                                         1
knocking                                                     1
interview                                                    1
most                                                         2
lived                                                        1
30                                                           2
negotiate                                                    1
tight                                                        2
paw                                                          1
sat                                                          1
speak                                                        2
statement                                                    2
across                                                       1
ready                                                        8
fried                                                        1
breakfast                                                    1
oan                                                          1
buttocks                                                     1
asked                                                        1
greatest                                                     1
jars                                                         2
valiant                                                      1
write                                                        1
daffodil                                                     1
he                                                           25
little                                                       23
point                                                        3
humans                                                       16
mama's                                                       1
antennae                                                     2
leader                                                       1
grateful                                                     1
lose                                                         1
strong                                                       1
mr                                                           19
needs                                                        2
gandhi                                                       1
limit                                                        1
sun                                                          2
information                                                  1
spray                                                        1
nine                                                         1
john                                                         1
visual                                                       2
survive                                                      1
as                                                           16
assume                                                       1
women's                                                      1
twice                                                        2
natural                                                      1
considered                                                   1
drag                                                         1
casually                                                     1
benson                                                       15
razor                                                        1
eating                                                       1
wants                                                        2
smells                                                       1
funny                                                        7
great                                                        9
culture                                                      1
alaska                                                       1
thinking                                                     27
27                                                           2
drive                                                        1
smoker                                                       3
worry                                                        1
supplier                                                     1
y'all                                                        2
happening                                                    1
earth                                                        2
crime                                                        1
least                                                        2
jerks                                                        1
83rd                                                         1
beekeeper                                                    1
beards                                                       1
resume                                                       4
history                                                      2
catch                                                        2
trickery                                                     1
blow                                                         2
haven't                                                      5
tower                                                        1
iguana                                                       1
slow                                                         2
complete                                                     2
come                                                         12
hangs                                                        1
yes                                                          21
horrible                                                     3
at                                                           26
saying                                                       1
panicky                                                      1
mite                                                         1
air                                                          1
lord                                                         1
luckily                                                      1
syrup                                                        1
this                                                         121
clothes                                                      1
choose                                                       1
simple                                                       1
shack                                                        1
trying                                                       4
grab                                                         1
regret                                                       1
boys                                                         3
base                                                         1
newbies                                                      1
make                                                         23
too                                                          11
royalty                                                      1
sounds                                                       1
doggone                                                      1
way                                                          14
any                                                          7
together                                                     3
level                                                        1
needed                                                       1
children                                                     1
usually                                                      2
break                                                        1
mamma                                                        1
planet                                                       1
by                                                           7
biting                                                       1
latest                                                       1
ground                                                       1
hal                                                          1
busted                                                       1
now's                                                        1
actual                                                       1
lovable                                                      1
81                                                           1
cheese                                                       1
different                                                    2
tuna                                                         1
congratulations                                              3
chill                                                        1
eight                                                        1
like                                                         38
upset                                                        1
job                                                          12
roller                                                       1
photos                                                       1
blows                                                        1
controls                                                     1
sting                                                        12
ninety                                                       1
helmet                                                       1
court's                                                      1
downtown                                                     1
